tmdb_id,title,original_title,original_language,overview,release_date,release_year,adult,video,popularity,vote_average,vote_count,genre_ids,genre_names,poster_path,poster_url,backdrop_path,backdrop_url,tmdb_url,fetched_at
969681,Homem-Aranha: Um Novo Dia,Spider-Man: Brand New Day,en,"É um novo dia para Peter Parker. Combatendo o crime em tempo integral como Homem-Aranha em um mundo que não se lembra mais dele e lidando com a pressão de ver seus antigos amigos seguirem em frente sem sua presença, Peter passa por uma mudança que talvez nem ele tenha o poder de controlar. Mas essa transformação também pode ser a única coisa capaz de deter uma surpreendente nova ameaça à cidade e às pessoas que ele ama: um poderoso vilão que ninguém sequer consegue enxergar.",2026-07-29,2026,false,false,659.5404,7.8,2771,878|28|12,Ficção científica|Ação|Aventura,/x0nvYzQpyJc5pdT9lMnkMuYAg0O.jpg,https://image.tmdb.org/t/p/w500/x0nvYzQpyJc5pdT9lMnkMuYAg0O.jpg,/qeQJx07rK2xm8SD2sJxFKhE7gs0.jpg,https://image.tmdb.org/t/p/w780/qeQJx07rK2xm8SD2sJxFKhE7gs0.jpg,https://www.themoviedb.org/movie/969681,2026-09-19T22:39:47.448953+00:00
1204680,Coyote vs. Acme,Coyote vs. Acme,en,"Após décadas de falhas catastróficas com os produtos ACME em sua caçada ao Papa-Léguas, Wile E. Coyote decide que é hora de buscar justiça e processar a corporação. Ao lado de um advogado azarado, Coyote trava uma batalha jurídica épica contra o impiedoso CEO da companhia. Enquanto enfrentam o sistema, a dupla desenvolve uma amizade improvável e luta para provar que a culpa de tantos desastres nunca foi do instinto, mas sim de defeitos de fabricação.",2026-08-27,2026,false,false,496.9094,7.552,453,35|12|10751,Comédia|Aventura|Família,/fqnp3doSeUFLGUFIolHVPA41O4E.jpg,https://image.tmdb.org/t/p/w500/fqnp3doSeUFLGUFIolHVPA41O4E.jpg,/7GOW6jod9lLurW5utokAatxg7ql.jpg,https://image.tmdb.org/t/p/w780/7GOW6jod9lLurW5utokAatxg7ql.jpg,https://www.themoviedb.org/movie/1204680,2026-09-19T22:39:47.448953+00:00
1101383,O Fim da Rua,The End of Oak Street,en,"Após um misterioso evento cósmico abalar o bairro Oak Street e o transportar dos subúrbios para um lugar desconhecido, a família Platt descobre que sua sobrevivência vai depender da união entre todos para enfrentar um ambiente agora irreconhecível.",2026-08-13,2026,false,false,467.2595,6.961,1200,878|9648|53,Ficção científica|Mistério|Thriller,/hkWS0js6LyjNJDEipCifHDE0nMy.jpg,https://image.tmdb.org/t/p/w500/hkWS0js6LyjNJDEipCifHDE0nMy.jpg,/b9q9VmbXDvJmTziRqkwdEmFdwhr.jpg,https://image.tmdb.org/t/p/w780/b9q9VmbXDvJmTziRqkwdEmFdwhr.jpg,https://www.themoviedb.org/movie/1101383,2026-09-19T22:39:47.448953+00:00
1423191,Resident Evil,Resident Evil,en,"Bryan, um tranquilo entregador de órgãos, é enviado para uma entrega noturna no Hospital Geral de Raccoon City. No caminho por uma estrada montanhosa coberta de neve, ele acidentalmente atropela uma mulher desconhecida. Ela sobrevive, mas algo está muito errado. Ao tentar ajudar, Bryan se depara com um surto em larga escala envolvendo mutações horríveis com tentáculos e monstruosidades bioengenheiradas.",2026-09-17,2026,false,false,399.1021,7.366,142,27|878|12,Terror|Ficção científica|Aventura,/gQ76UL64RQe3oHwiwHwODTC23g4.jpg,https://image.tmdb.org/t/p/w500/gQ76UL64RQe3oHwiwHwODTC23g4.jpg,/1CIaRYKf3zg2Xyce1CSfCMg2Vfw.jpg,https://image.tmdb.org/t/p/w780/1CIaRYKf3zg2Xyce1CSfCMg2Vfw.jpg,https://www.themoviedb.org/movie/1423191,2026-09-19T22:39:47.448953+00:00
1368337,A Odisseia,The Odyssey,en,"Acompanhe o rei grego Odisseu em sua perigosa jornada de 20 anos para voltar a Ítaca após a Guerra de Troia, enfrentando monstros e deuses enquanto sua esposa Penélope resiste em seu reino.",2026-07-16,2026,false,false,367.3657,8.016,3793,12|28|14,Aventura|Ação|Fantasia,/muMwJAiMtReEHLKpKMWt2rMkYF7.jpg,https://image.tmdb.org/t/p/w500/muMwJAiMtReEHLKpKMWt2rMkYF7.jpg,/RMXG8myu1aGlNUsRjtxzmpdMK0.jpg,https://image.tmdb.org/t/p/w780/RMXG8myu1aGlNUsRjtxzmpdMK0.jpg,https://www.themoviedb.org/movie/1368337,2026-09-19T22:39:47.448953+00:00
1375646,Zona Zero,군체,ko,"De repente, um vírus que sofre mutações rápidas é liberado em uma conferência de biologia, forçando o isolamento imediato do local. A contaminação se espalha rapidamente, e os infectados não apenas atacam, eles evoluem de formas imprevisíveis e cada vez mais perigosas. Presos nesse confinamento, um grupo de sobreviventes precisa lutar pela própria vida enquanto, a cada minuto, as regras do jogo mudam.",2026-10-01,2026,false,false,359.5505,8.081,825,28|27|878,Ação|Terror|Ficção científica,/5tQ8kDNk00HPuVb43pZH1BmcNWQ.jpg,https://image.tmdb.org/t/p/w500/5tQ8kDNk00HPuVb43pZH1BmcNWQ.jpg,/hpBGCnzOvdtQoMyE48gvwp2y5yx.jpg,https://image.tmdb.org/t/p/w780/hpBGCnzOvdtQoMyE48gvwp2y5yx.jpg,https://www.themoviedb.org/movie/1375646,2026-09-19T22:39:47.448953+00:00
1294189,The Mongoose,The Mongoose,en,"Um herói de guerra falsamente acusado, sem nada a perder, lidera a polícia em uma épica perseguição televisiva de carro pelo país, ajudado por membros de seu antigo batalhão das Forças Especiais do Exército e monitorado de perto por um público fascinado que torce por sua fuga segura.",2026-10-29,2026,false,false,289.8088,0.0,0,28|53,Ação|Thriller,/eSS5mvSG84UUuvtbHel5Yu3Wik4.jpg,https://image.tmdb.org/t/p/w500/eSS5mvSG84UUuvtbHel5Yu3Wik4.jpg,/iRIhPqqoUHiFBxn8oYf3gCQnaKk.jpg,https://image.tmdb.org/t/p/w780/iRIhPqqoUHiFBxn8oYf3gCQnaKk.jpg,https://www.themoviedb.org/movie/1294189,2026-09-19T22:39:47.448953+00:00
1288445,Código: Vingança,Mutiny,en,"Após testemunhar o assassinato de seu chefe bilionário e ser injustamente incriminado pelo crime, Cole Reed embarca em um navio cargueiro em uma cruzada solitária para vingar a morte do chefe. No entanto, à medida que avança em sua missão, ele descobre que está no centro de uma perigosa conspiração internacional.",2026-09-10,2026,false,false,254.7093,6.444,418,28|53,Ação|Thriller,/gVZgjKIsXZOT3cNZm5PJZBtQRaG.jpg,https://image.tmdb.org/t/p/w500/gVZgjKIsXZOT3cNZm5PJZBtQRaG.jpg,/e2QAGrEmbpmZpMymDRkDisJkvg9.jpg,https://image.tmdb.org/t/p/w780/e2QAGrEmbpmZpMymDRkDisJkvg9.jpg,https://www.themoviedb.org/movie/1288445,2026-09-19T22:39:47.448953+00:00
1285366,愛のぬくもり,愛のぬくもり,ja,,2024-07-06,2024,false,false,232.3025,5.688,8,10749,Romance,/3r0O6BW9USoZ9mteCVyNKMQriRL.jpg,https://image.tmdb.org/t/p/w500/3r0O6BW9USoZ9mteCVyNKMQriRL.jpg,/yjK3ardrgdS8suZG8KMU82Q7U38.jpg,https://image.tmdb.org/t/p/w780/yjK3ardrgdS8suZG8KMU82Q7U38.jpg,https://www.themoviedb.org/movie/1285366,2026-09-19T22:39:47.448953+00:00
1108427,Moana,Moana,en,"Na Polinésia Antiga, quando uma terrível maldição contraída por Maui chega à ilha de um impetuoso chefe, sua filha obstinada responde ao chamado do Oceano para procurar o semideus e consertar as coisas. Adaptação live-action do filme de animação da Disney de 2016 'Moana'",2026-07-09,2026,false,false,221.3946,7.346,699,10751|14|35|12,Família|Fantasia|Comédia|Aventura,/92clN62AIYMOAKaSlkJyZmGQM4R.jpg,https://image.tmdb.org/t/p/w500/92clN62AIYMOAKaSlkJyZmGQM4R.jpg,/c6BPbkO5Npt1OdwttAxCFo06wtH.jpg,https://image.tmdb.org/t/p/w780/c6BPbkO5Npt1OdwttAxCFo06wtH.jpg,https://www.themoviedb.org/movie/1108427,2026-09-19T22:39:47.448953+00:00
